label,tweet
fear,'Gue melipir ke deket2 taxi kan
fear,'Di masa depan
anger,[USERNAME] [USERNAME] 1suara untuk 5 tahun. Jangan Harap suara Kami jika Para Dewan mendukung pembubaran KPK.!!! Lebih Baik BUBARKAN DPR.!
sadness,Yang paling ngenes ketika sampai parkir stasiun lalu KRL arah yang saya tuju datang tapi karena jarak parkir stasiun Ke KRL perlu waktu 3 menit alhasil ketinggalan kereta
anger,'[USERNAME] [USERNAME] Apa salahnya seorang suporter peduli ke kaum hawa ? Kalau itu terjadi di fans Anda
fear,Bahaya ...MERCURY....? Untung cepet tersadar dan stop buat pakai produk2 instan ya. Sayangi kulit dan kesehatan anda. Karna cantik itu tidak perlu putih paling utama sehat Drw aman dari mercury ples aman...
joy,'Tapi hari ini berbeda... ketemu
love,'AkuMencintaimu Karena disisimu
anger,Ketika situasi membuatmu begitu marah sehingga kamu merasa seperti kamu bisa menghancurkan apa pun. ð¥ð¡ #DestroyerMode
joy,Bakso dengan banyak jeroan + teh jahe panas pas hujan deras adalah kebahagiaan hqq yg sebenarnya
anger,'Kaya gitu terus ya netijen
joy,'tapiii efeknya baru kerasa sekarang :'') mukaku jadi tipe muka yang less problem gt hehe yang kalo jerawatan cuma pas pms doang kalopun lg breakout ilangnya cepet padahal cm dibiarin doang dan ga minyakan :'')'
anger,'[USERNAME] Malam saya mau tanya kenapa benefit saya dibatalkan
joy,[USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] Keren banget bu menteri disinergikan lintas cinta alam sukses selalu smoga barokah
anger,Ketika kamu merasa seperti hatimu dipenuhi oleh api kemarahan yang sulit untuk dipadamkan. ð¥ð¡ #FieryEmotions
sadness,Aku merasa seperti aku tenggelam dalam air mata sendiri karena kesedihan ini.
sadness,'mon maap
anger,[USERNAME] Heee aku kemarin ngeliat hoak tetang pohon plastik pertama kali dr akun anda ygdisebarkan lewat fb .... ini bukan saja nol besar tp skaligus nonjok muka junjungan sdr ... terima kasih
fear,'Hari senin qerja lembur bagai quda. Hati hati gaes
sadness,'Kesalahan malam ini
sadness,cayo! go go! hahaha tidak-semangat sangat :( a jenuh gila belajar sendiri di kamar -_-
fear,'Jinhyuk menunduk
sadness,wah kasihan kucingnya pasti sakit deh :d ha ada semut keinjek kucing memang ada yang kcelakan
anger,Kenapa Perhelatan Asian Games yg akan digelar Agustus 2018 nanti kurang menggema??.. karena Para Netizen sedang khusuk main Tagar POLITIK. #SukseskanAsianGames2018
love,Cinta adalah ketika kamu merasa seperti kamu bisa mencapai apa saja dengan dukungan dan kehadiran seseorang yang kamu cintai. ðð #EmpoweredLove
love,Cinta adalah menghadirkan kebahagiaan bagi seseorang bahkan ketika kamu sendiri sedang mengalami kesulitan. ðâ?¤ï¸? #BringingJoy
love,'Karena bagiku
sadness,'[USERNAME] Oh iya. BAY DE WEY: Jd sekalian nih: 1. Kl blm mapan JANGAN KAWIN 2. Kl mau idup enak
love,'Sebenernya gue sayang
fear,Rasa takut membeku di tempat ketika aku melihat figur gelap berjalan menuju arahku.
sadness,'Oh ya
sadness,'Ya Allah Pengen bgt deh waktu itu berhenti berputar. Perasaan makin kesini setiap menit gak kerasa bgt. Tahu-tahu udah sejam aja
joy,'[USERNAME] [USERNAME] [USERNAME] [USERNAME] Siapa yg TIDAK mengakui kalau Aher itu gub.hebat
sadness,'Kabar baik ku pagi ini... dpt tagihan uang kegiatan sekolah u setahun
love,'90. Tanggapanku. Aku cinta kamu apa adanya /eak Apa ya. Aku mengerti setiap sisi dirimu
fear,'Takut banget sama kecoa. Amit amit tuh makhluk harus musnah dari bumi /woi satu sva pun tau saya takut kecoa heran 3') Saya gen 19 moroi
anger,'Rasional juga cara pikir Yassona
anger,pancasila diuangin THR dipaksain pendidikan dijualin otak dikandangin kampus disatronin 2 periode dibatalin. #batalin2periode [URL]
anger,'[USERNAME] [USERNAME] [USERNAME] Hei Claudia klo jawaban kek gini udh gw tau dr kmrn keles.. sabar ya kak
joy,Beautiful summer in Bandung #bandung #cikutra #ensenangbandung #payingrespect
joy,Bberapa tahun kemudian kesejahteraan keluarga makmak ini teus meningkat. Sampailah suaminya itu dpet pangkat yg tinggi. Kurang paham juga tentang pangkat2an di TNI. Pokonya sudah hidup bekecukupan.
sadness,'Ada pasien yg curhat 17th cuci darah dan ttp positif krn keluarganya yg supportif
sadness,'lucu sih kenapa ada pasangan yg masih tukeran pass ig . dimana komitmen kalian yg ada embel2 '' kepercayaan'' apa pasangan kalian tukang selingkuh? HAHA ciyaaaaan'
love,'Untukku
anger,mantap tidak-bisa tolak itu sih maruk
sadness,Di kereta duduk sebrangan sama pasangan bapak2 dan ibu2 yang tidurnya pelukan terus dari Jogja sampe lewat Cirebon. Sampe Jakarta kukena sakit gula kaykanya :(
love,Semangat sayang... aku jg menunggu anak kita yg akan lahir.. ahahahhaha [USERNAME] #EXO_COMINGSOON #exo #EXOPLANET #weareoneEXO
sadness,Rasa kesepian dan kehilangan ini membuatku merasa seperti aku tak punya siapa-siapa.
anger,'Semakin terang
sadness,'Rencana gak pulang mau garap project
anger,'[USERNAME] [USERNAME] Dari pertama [USERNAME] menduduki bangku jabatan anda
anger,'Sepertinya tatanan transparansi MASALAH ANGGARAN di pemProf DKI TERTUTUP sejak Anis menjabat sebagai Gubernur. Setiap detik selalu ramai dng masalah ''PEMBELIAN BARANG SILUMAN'' # AHOK SANGAT FAIR TERHADAP MASALAH APAPUN MESKIPUN HARUS DI PENJARA'
anger,[USERNAME] [USERNAME] Kemarin listrik kami disegel karena keterlambatan pembayaran. Saat itu juga kami melakukan pelunasan dan telah melaporkan mll call center 123. Namun progress reportnya sangat lamban
sadness,'Orang lain kalau pake ponco itu buat jas hujan
fear,Ketika kamu merasa seperti kamu harus berhadapan dengan monster rasa takut yang menghantui. ð¦¸â?âï¸?ð± #FacingMonsters
fear,'Membeli kolak untuk berbuka puasa. Biasanya habis tp td tida. Mau dibuang sayang
love,'Semoga kita semakin terdorong untuk berniat menyemai cinta di rumah rumah kita.... agar Allah hantar diri kita kepada kebahagiaan hakiki yang hanya ada jika dekat dengan Allah Subhanahu wa Ta'ala... ''... [URL]'
anger,'Punya utang udah 2thn ditagih ngilang2an
joy,'selalu bahagia dikelilingi orang2 baik orangtua yang baik
anger,'pelajaran juga buat para pemain bola yang lain
love,1. Yoon Jisung Aslinya lebih ganteng drpda foto emang dengan pesona gaya rambut yg menggoda iman para wannables. Makin jatuh cinta waktu nge-DJ doong! Gilak! Parah! Aing sampe ga bisa tutup mulut ga bisa berhenti senyum2 krna pesonanya keluar
love,'Sambutlah cintaku duhai sayang
joy,Terimakasih Tuhan u segala berkah yg Engkau limpahkan dlm hidupku. Cinta yg nyata dr MU senantiasa menyertaiku setiap langkahku. Hari ini sungguh aku bahagia. Krn Tuhan pertemukan aku dg org2 yg baik.. [URL]
love,'g ikut ospek jurusan ada berkahnya
anger,'Nggak ''Ok''. Saya dulu pengagum [USERNAME] . Sekarang GAK respek'
joy,Alhamdulillah goal suport unit penyambutan RI 1 semarang peresmian terminal baru airport a yani semarang . Tambahan 3 unit alpahard facelift 2018 mendarat dengan selamat
joy,'Ini apa gegara thread nya [USERNAME] kmrn2 ttg oldmoney vs OKB ga sih akhirnya #OldMoneyGakNgerasain jd trending topic
anger,'[USERNAME] Guru gw dulu juga ada yg mirip gini nih
love,'Saat kamu melihat seseorang dengan mata cinta
sadness,nah diam lebih bagus yaudah saya diam saja deh -_- kepo deh memang tadi kemna haha
fear,'Perkembangn khidupn mmg sungguh dahsyat
anger,Pertanyaan yang dulu pada masa itu bikin kesel... Apalagi kalo sodara jauh yang nanya... Untung ga gue tanya balik : kapan opname?
anger,'Woy... Lu ikuti imbauan agar jgn panggil kami
love,'Dengan apa kuharus meminta syafaatmu Ya sayyidi Ya Rasullullah? Jika dengan cinta
joy,'selamat ulang tahun papi [USERNAME] semoga panjang umur
joy,Pagi ini dapet lagi mba supir tj yang selalu semangat kalo nyetir sambil dengerin lagu yang macem2. Tadi dia muter lagu sayang.. tapi versi bahasa jepang. Ikut semangat liatnya :)) Jadi mikir ye sayang banget orang yang gak mau menikmati sesuatu cuma karena perbedaan bahasa.
joy,semalam ada penonton sebelah saya pas lagu parklife dia sing along-nya benar wasweswoswasweswos parklife ! :)
joy,'Perkenalkan
anger,'Belakangan bejibun yg nanya
joy,Ketika kamu menemukan aktivitas baru yang mengisi hari dengan kegembiraan dan semangat baru. ðð¤¸â?âï¸? #NewAdventure
love,Akhirnya bisa berfoto mesra dengan Jokowi. Dia memang sederhana dan baik hati. Pak Jokowi mendukung gempaliterasi GenerasiJaguar tur Sumatra. Dia menyambut kami di Bakahuni.
sadness,Aku merasa terjebak dalam kegelapan kesedihan yang tak kunjung berakhir.
sadness,'Dilema baru : Pengen ikutan reuni SMA
joy,'#OldMoneyGakNgerasain minum aqua gelas
joy,'Pantas emiss cari kemana-mana ternyata disini ya. Selamat datang
fear,'singkat cerita
fear,'Terlalu naif jika berbicara patah hati
fear,sumpah td gue ketiduran jam 6.10 dan barusan gue bangun gara-gara mimpi dikejar setan gue mimpi di kejar miss k gue ga ngerti awal nya gmn yg gue inget awalnya
anger,bikin orang kesal saja
joy,'Disaat orang orang rame di twitter
sadness,'[USERNAME] belum lama ini
joy,'Dia 30 tahun
sadness,Rasa kesepian dan kehilangan membuatku merasa seperti aku kehilangan bagian dari diriku.
joy,'Eheheheh ini apasih dari minggu kemaren tema semesta saya soal nikah. Ga kepemgen sih
anger,Halo Polisi.. Halo Densus 88 Halo Divisi Humas Polri Kog masih ada saja akun kutil lendir penuh kebencian dan ada unsur provokatif gini di biarkan exist di Sosial Media Instagram?! CC : [USERNAME] [URL]
joy,Yanga namanya pertemanan pasti ada suka-dukanya. Dan disinilah kita belajar dan berproses bersama. grumpytard minoruliciouces #friendship_goals
fear,'[USERNAME] [USERNAME] hahahahah anjir sama
joy,'Karena mendengar adzan maghrib
love,'Kasih sayang yang ibu berikan bukanlah harta yang melimpah
sadness,'#RIPKate Spade (55th) Baru aja ditemuin meninggal gantung diri di aptnya sm pembantunya. Pdhl suaminy (andy spade) jg ada di dlm apt saat itu Y Allah Bhkn se sukses kate aja bisa gini
sadness,Tibalah kita Di penghujung persimpangan Di penghujung jalan cinta Kita berdua... Terpaksa ku relakan Tak daya ku halangkan Kerna ku tahu cintamu Bukan lagi milikku...
anger,Ketika situasi membuatmu begitu marah hingga kamu bisa merasakan denyutan di dalam darahmu. ð¥ð¢ #RagingBlood
anger,Adek kosan pinjem tupperware w (yg sebenernya akan w bawa pulang kamis ini). Sama dese diisi rendang trus dimasukin freezer. She just sent me to hell
sadness,Aku merasa hampa dan tak berdaya karena rasa sedih yang membayangi diriku.
joy,'bertanya
sadness,Klo di puskesmas yg antri orang hamil sm lansia didahulukan. Disini yg daftar online yg diutamakan. Akumah ngga pernah dapet tempat. Prioritas di hatinya aja kagak :'(
fear,'sayang
sadness,'Banyak maba dikampus
love,'Selamat ulang tahun idolaku
anger,Momen di mana kamu merasa seperti amarahmu adalah kekuatan maha kuasa yang melampaui batasan. ð¥ð #SupremePower
anger,'[USERNAME] Selamat malam
fear,'Takut semester ini gak bakalan maksimal. Belajar yang seharusnya 2 semester satu tahun jadi cuma 6 bulan. Pulang sore berangkat pagi
sadness,'Saya tidak pernah mendapatkan edukasi mengenai efek buruk dan bahaya merokok ketika di sekolah baik di SD
fear,'Wah parah banget sih sendiri
love,Dari matamu.. Matamu.. Kumulai jatuh cinta. Kumelihat... melihat.. Ada bayangan... Dari mata kau buatku jatuh... jatuh terus jatuh ke hati.
joy,Merasakan rasa kemenangan ketika kamu menyelesaikan tantangan yang tampaknya sulit di awal. ð??ð? #Triumph
love,'Wajar gak kalo cowok nangis gara-gara nahan kangen? Soal nya gak bisa sama sekali untuk ketemu hehe. Lebay gak sih? engga dong
anger,saya kecewa ......atau kita dipaksa golput .....presiden RI kok takut sm FPI...@DivHumas_Polri [USERNAME] [USERNAME] [USERNAME] [USERNAME]
fear,'dilema banget anjir mau kentut tp takut yg keluar gakcuma gas
anger,Aku merasa seperti aku harus berjuang untuk menahan rasa marah yang memuncak.
sadness,'lagi heboh asus rog phone
love,'Selamat tanggal 26 mas. makasih jugaaa sabar terus sabar teruuuss sama akunya
joy,'hahaha duh nad itu bisa aja sih lo nyampe di serang fans 'kencing aja belom lurus kaga tau apa dia lo eksoel dari jaman teaser beribu episode itu
sadness,Anak jaman now gatau kalo dulu mau testimonial dibalesnya seminggu mana harus bikin URL :(( skrg pdkt tinggal match no match di kinder senang #RecehkanTwitter
sadness,'Biar kelihatan rame. Biar kelihatan meriah. Biar kelihatan fasilitasnya komplit. Dan biar kelihatan kerja. Padahal
sadness,[USERNAME] Iya nad. Ada drama drama cryingnya juga. Apalagi kalo laper... biasa makanan ada tersedia tinggal ambil. Kalo dikos musti cari makan sendiri pas gaada temen nah ini bisa bisa nangis. Jadi kangen ibuk hahaha LOL
joy,'Saat-saat ketika kamu berbicara dengan seseorang yang memiliki visi dan nilai yang sejalan
joy,'[USERNAME] [USERNAME] Oh iya bisa tuh tp mesti bikin mold bentuk panda dulu hahahaha
sadness,'Ketika kamu merasa seperti kamu telah kehilangan semangat untuk terus berjuang
anger,'lebay bgt sih masalah kygt doang sholat lo makanya makanya cerita
fear,'Aq lebih takut ama manusia daripada ama setan. Gk pernah ada setan kemanusiaan
sadness,'pidato-pidato presiden retak
joy,'Persahabatan itu harus mempunyai telinga untuk saling mendengar
joy,'Dg menggunakn sistem demokrasi bgtulah jlnnya
anger,Saling menyalahkan dan mencari pembenaran sendiri apakah itu bijak Hal ini biasa karena basis suporter jg besar di tmbah provokator yg anjing #pantangmunsur #jakmania
sadness,'Cemburu melihat dia tengah bahagia dan membahagiakan kekasihnya
joy,'Paling excited kalo ngobrol sama orang kreatif
joy,Momen berbagi tawa dengan keluarga di meja makan adalah kekayaan yang tak ternilai. ð¨â?ð©â?ð§â?ð¦â?¤ï¸? #FamilyJoy
anger,'[USERNAME] [USERNAME] orderan GK-83526723
joy,'[USERNAME] pasti banyak yg belum baca mangany dan merasa kalo ini remake amrik kayak powerrmarah (cuih) yg baru rilis kmrn
fear,'Ati2 sis [USERNAME]
joy,'menyembuhkan rasa sakit tanpa obat ya kek gini
joy,Melihat hewan peliharaan kamu bermain dengan gembira selalu membuat hari menjadi lebih baik. ð?¶ð?± #PetLove
fear,Apa hukumnya bermain musik stad? jelas HAROOOOM hukumnya! Berdosa kita memainkannya! Begitulah kira-kira percakapan yg terjadi antara penanya dan seorang ustad disebuah acara tv yg intronya pake musik.
joy,sore-sore nyomay enak nih hq indosat m2 grafiti building 2nd flor)
fear,Aku merasa gemetar ketika melihat bayangan yang aneh di sudut ruangan.
joy,'Saat kamu menemukan foto lama yang mengingatkanmu tentang kenangan indah
sadness,kurang pengertian bisa mencintai bisa juga membenci namun tidak-pernah mau mengenal
sadness,salah saya apa ya hm-_-
sadness,'Lebih baik mendengar suara bom
sadness,'Hati yg sakit dan merasa tersakiti oleh perbuatan oranglain
fear,Tapi so far ga ada yg aneh sih Ka malah byk yg support Justru lebih ngeri netizen di IG kayanya wkwk jgn dikunci sayang Ka
anger,'[USERNAME] [USERNAME] Kaya gini mau nyaleg..? Uda dapet korupsi berapa M
sadness,'Ketika kamu merasa seperti kamu sendirian dalam keramaian
love,'[USERNAME] [USERNAME] gaada yang mau gue ungkapin . Dia bisa bikin nyaman . Gue ngapain aja dia juga iyaiya aja 
sadness,'Nangis dipundak kamu
joy,'Bun
anger,Palembang. Be nice please. Jangan dirusak oleh kelakuan orang orang yang isengnya ampun seanjing anjing gini. Katanya Kota Internasional? Hadeehh
joy,'Jadi ... beberapa hari ini si Dia kasihan lihat saya dirumah main sama si mungil terus
sadness,'Rencana : mau bagi makanan ke para tetangga karena mendekati hari raya. Oke
love,Cinta adalah pengingat bahwa kelemahan kita dapat diubah menjadi kekuatan melalui dukungan dan kasih sayang. ðð #TransformativeLove
anger,'Sebel aja sih kalau aku punya barang baru entah itu hp
fear,'Baru persiapan doang udah gosong gimana waktu gw ospek nanti
fear,'aku dong malem ini checkup darah
joy,Momen ketika kamu berhasil membantu seseorang menyelesaikan masalah adalah momen yang membawa sukacita. ð¤?ð¤ #ProblemSolving
joy,Sesungguhnya org yg gugur di jalan-KU tidak lah mati... mereka hidup (bahkan selalu hidup) dan mendapatkan rejeki.... Kau selalu hidup dlm peradaban &amp
fear,'[askMF] pacar gue enggak tau ada masalah apa di rumah sampe gamau pulang. dia bilang dia lagi keluyuran sama temennya. gue khawatir. takut dia kenapa kenapa. mendingan gue bersikap gimana ya? drtd gue cuman bisa bilang ''jangan lupa ngabarin ya
fear,Momen di mana kamu merasa seperti segala sesuatu terasa menakutkan dan berbahaya. ð?ð± #EverythingIsScary
anger,'Pada ribut masalah via vallen ya Kenapa sih? Gamau nyinyir gua mah *Jadi seorang pemain sepak bola bla bla bla... Eh gausa d ss kali
joy,'Kak [USERNAME] lagi belajar buat ujian apa udh istirahat? Ga niat muncul bilang makasih sketsa hari ini lucu gitu?? Atau apalah.. jgn pelit2 muncul ka.. haha.. kalau lagi belajar semangat ya
anger,'Dari cerita yg aku baca itu
joy,'Selamat pak [USERNAME] resmi jadi bapak
fear,Ketika kamu merasa seperti kamu harus berjuang melawan rasa takut yang mendalam. ðð° #ConfrontingDeepFear
anger,'Duh ini teman kantor udah minta tukar shift dadakan
sadness,Aku menyadari bahwa kadang kita sulit ikhlas ketika kita benar-benar yakin kita seharusnya yg mendapatkannya. Kita benar-benar sudah berusaha maksimal dan merasa lebih baik dari orang lain yang berhasil mendapatkannya.
joy,Selain permen jahe yg kenyal2 itu aku juga suka permen sugus... selalu nyetock permen sugus di kulkas. Paling suka sugus purple grape. Dari zaman masi TK sampe sekarang rasanya ga berubah... ngangenin
fear,'Tapi dari Sartre
love,'Kamu yang akan ku ceritakan
sadness,'Insya Allah akan kembali ke relnya smua
fear,'Aku gasuka ada ribut2 sama cewe Nanti pasti update di Instagram quote2 yg nyinggung
love,'Bangsa yang besar adalah bangsa yang cinta sesama. Seorang muslim yang paling dicintai adalah mereka yang peduli terhadap saudara-saudaranya
fear,Ketika kamu merasa seperti kamu harus melawan ketakutan yang merajalela di dalam dirimu. ðð° #ConqueringInnerDemons
joy,'Berada di lingkungan yang berisi orang-orang hebat itu akan menyadarkan kita betapa pentingnya upgrade diri dan jadi OUT STANDING! Salah satunya duta bahasa
love,'makasih buat 2 bulannya sayang maaf kalo akhir ini sibuk bgt ga bisa selalu ada buat kamu. ga ngehubingin bukan berarti ga kangen
fear,'Baru 'ngerusuh' di balai desa Terus pas mau pulang tadi
joy,'Christine Lagarde pun membagikan momen ke Pasar Tanah Abang di akun Twitter-nya. Namun ada yang lucu
joy,'food test Rendang Bebek lagiii
love,'Cinta sejati adalah ketika dia mencintai orang lain
love,Yoongiii Kangen banget ampe atit nih akunyaaa akirnya update uga.. makin putih yaaa ga pernah keluar kamar keknyaa selama summer yaaa.. sayang anet ama yoongiii...
anger,[USERNAME] [USERNAME] .... Kamu sensara....??? Dasar Kampret busuk loe .... Bisa main medsos masih bicara rakyat sengsara.... Rakyat moyangmu yg sengsara...!!!
joy,[USERNAME] sebagai jiwa berwirausaha atau pengusaha harus berani mengambil resiko apapun itu demi usaha nya kegagalan awal dari kesuksesan
fear,[USERNAME] [USERNAME] Mungkin sj tp secara formal PSI sdh lolos verifikasi KPU dan di syahkan sbg peserta Pemilu. Jd sbg warga negara kita terima keputusan KPU meski kita tdk akan memilih PSI krn curiga ada rekayasa di dalamnya.
anger,Haiyaa dagangan lu olang kaya IM Isis HTI kagak laku a.. [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] #2019BUBARKANPKS. [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [URL]
joy,'film yang bikin tante-tante dan mbak2 macem gua gini blushing di bioskop. iqbaal jadi dilan tepat bgt sih
fear,'Momen di mana perasaan takut merasuki mimpi-mimpi malammu
love,kirain elus dada kak elus perut :p adik tidak-butuh balon kak adik cuma butuh cinta kasih sayang kakak aja:3
joy,'Alhamdulillah
love,'Punya suami yang sayang sama keluarga kaya Papa sayang banget sama keluarga Mama
anger,[USERNAME] Ga usah ada liga...bagaimana persepak bolaan indonesia bisa maju kalo mau kaya gitu terus...mau perang mah di gaza sanah...mati lu masuk syurga...
sadness,'Aku cuma bisa ngucapin terima kasih kepada mantan yang telah memberi pelajaran bahwa cinta tak semanis yang dibayangkan
joy,'Tetap semangat walau punkada rencana kita tidak sepenuhnya berjalan lancar
love,semoga alloh meridhoi niat kita ya sayang dipermudah di gampangkan dilancarkan selaha niat baik kamu ya sayang saatnya nant tiba jadi bersabarlah ber istiar lah amin ya robb alamin [URL]
anger,Itu tolong onlen shop yg barangnya udah soldout tp masih dipajang tenggelamkan aja deh. Ngapain dagang kalo barang soldout. Ditanya kapan ready bilang kaga tau. Kzl aja w -_-
anger,'Kita masih mampu beli ini itu liburan dg uang halal kami mbak.. Buat apasih korupsi uang haram mah
fear,'[USERNAME] Iyaa nci .. kdg suka mikir klo hidup dh pngen yg Macam2
anger,Makanya tutup aurat mu kalo gak mau di lecehkan Anda Memakai wangi wangian saja bila tercium laki laki sekitar saja anda sudah menanggung dosa
anger,'Kalau mau menyelamatkan keuangan BUMN
anger,
love,'Kekuatan cinta kita takkan pernah rapuh
fear,'saking takut salah ngetik mo ngechat ke dosen wali
fear,Ngeri banget! Gelombang dengan ketinggian hingga mencapai 7 meter menghantam wilayah pesisir pantai selatan Pulau Jawa.
fear,'[USERNAME] Paling parah sih gabisa sama skali liat yg bolong2
fear,'dan dia ngebuntutin gue dong
sadness,Momen di mana kamu merasa seperti kamu terjebak dalam labirin kesedihan yang tak kunjung berakhir. ðð #EndlessMaze
anger,Rasa amarah ini membuatku merasa seperti aku akan kehilangan kendali atas diriku.
sadness,oh yang sabar ya:) video anime2 saya ran :'( banyak sangat yang ke apus :'( :'( :'(
sadness,astagah! sifat humoris scorpio adalah sebuah topeng untuk menutupi semua luka hidupnya #kiscorp
fear,'Bahkan sampe sekarangpun
sadness,'Rasa kesepian dan kehilangan ini merayapi diriku
joy,'Panjang umur
sadness,macetnya mantap #parkir
sadness,'enggak ada yang salah dengan meminta tolong ke teman
fear,aku takut dngn smua bnda.. ap y bkl trjadi ap y tgh tjadi kat sekeliling aku.. aku takut dngn diri sndiri.. hate this feeling.. just wanna die rn.. fml
joy,'Muka w mang gak indah
fear,minum obat kamu jangan sampai sakit ye awas saja kalau besok tidak-masuk
fear,'Saking takutnya sakit yang macam-macam
sadness,'Kalo nanggung kea skrg itu lebih betein ketimbang pas pendek. dulu yes
fear,'[USERNAME] Kalo aku yg lbih ngeri itu Dompet ilang..kalo yg lain mah pling ngerinya cm sesaat..nah klo dompet ilang bs galau berkepanjangan.krna didlm dompet bkn cm ada duit
anger,Memilih pemimpin yang ideal dalam Islam adalah pemimpin yang justru tidak mau di tunjuk untuk memimpin. La sekarang? malah nunjuk hidung diri- sendiri pada ndaftar calon . Apa udu wong gemblung arane
fear,'[USERNAME] min mau nanya misal ada kesalahan buku pajak harusnya ppn tp trnyata pph minyak bumi spt gmbr brikut
sadness,'Menyeduh kopi dengan air mata yg cukup panas
anger,Momen di mana kamu merasa seperti amarahmu bisa membawa bencana. ð¤âï¸? #StormOfAnger
joy,Terimakasih Bapak Ibu dari dinas perindustrian & pengusaha spa kalimantan selatan sudah berkunjung ke #putrikedatonspa Semoga dilain kesempatan bisa berkunjung kembali
sadness,'Mencoba romantis
sadness,Tau dia di rs ku ucap lekas sehat mas(btw ku canggung chat sama laki laki yg lebih tua). 10 hari setelah itu dapat kabar kalau si mas masuk ICCU. Ku agak kaget tau kabar beritanya yg mendadak drop begitu..
sadness,Dulu kalo di-bully sukanya marah terus dikejar si tukang bully. Saat kagak tertangkap dan badan lelah seketika itu pula muncul bulir bulir air bercucuran dari mata.
joy,Diam diam dia suka day6 masa.. Sumpah aku gak racunin kok wkwk. Kuy lah nonton Youth bareng! *halu tingkat provinsi
joy,Hari ini penuh dengan tawa dan cerita lucu bersama teman-teman terbaikku. ðð #FriendshipGoals
love,[USERNAME] Meskipun syarat ke dua adalah bucin baejin tapi ku sayang wanna one siapapun membernya dan berjanji tidak pernah akan membuang barang barang apapun tentang wanna one [URL]
love,'Allah tau apa yg terbaik buat aku
joy,Dulu kaya hampir setengah jam atau 2*x sesi jelasin org korea kata *Cie*...sampe pake di dramain biat pd nyambung... Akhirnya baru pd ngerti dan nemu padanan kata ke korea.. trus skrg gw yg lupa bhs koreanya cie apa hahahhaa [URL]
love,Tetap disini.. Jangan biarkan aku sepi sendiri.. Izinkan aku selalu bersamamu.. Dalam ikatan yg direstui semesta.. Aku sayang kamu separuh hatiku
anger,'[USERNAME] Kartosoewiryo itu seorang taat beragama dan mau bunuh Soekarno. Yang bunuh Sayyidina Ali ketika solat subuh itu seorang Hafidz Quran dan ahli fiqih
anger,Rasa amarah ini membuatku merasa seperti aku akan meledak dalam waktu singkat.
anger,Dear [USERNAME] mengenai kejadian ini saya mohon KAI untuk mengambil tindakan tegas .. saya selalu menggunakan jasa KA hampir tiap bulan Gambir Semarang - semarang Gambir memohin dengan sangat sebaiknya bapak2 ini menunggu dibawah dan ijin kan penumpang yg turun dulu .. 1 [URL]
anger,[USERNAME] .... Ente bilang Hakim Artidjo bukan Malaikat... Ya jelas bukan.... Tapi Hakim Artidjo berdasar fakta2 persidangan dan tidak akan buta terhadap Korupsi Anda yg sangat jelas bukti2nya.... Anda yg sebenarnya bukan Malaikat karna sangat doy
joy,'HBD my lovely wife Amie Amoy .... wish u all the best
fear,'Lu harus tau rasanya sedeket itu sm orang gila takut bgt gua tuh... Trs temen gua ternyata denger dia bilang ''wah gede jg ya pahanya'' Yalord. Aing teh cm mau piknik naha ada geginian!!! Terus akhirnya w nelpon temen pake ngomong seakan akan dia bapak gua dan nyuruh jemput:('
fear,Saat aku mendengar suara langkah berjalan di luar jendela
joy,Rakit merakit ...JANGAN LUPA BAHAGIA... #StreetCubEastBorneo #StreetCubBalikpapan #janganlupabahagia #StreetCubKaltim #StreetCubFans #StreetCub_Bpp #StreetCub
love,AWW THANK YOU AININ SAYANG . AAMIIN MOGA MOGA DIPERMUDAHKAN I love you even more hahahahhaa okey I'll change right now !!! Hehehehe thank yiu againss
sadness,'Momen di mana kamu merasa seperti kamu tenggelam dalam kenangan yang menyakitkan
fear,'jangan lupa jaga kesehatan
fear,'[askMF] Masa aku baru pacaran kemarin
sadness,Ketika kamu merasa seperti kamu hanya bisa merenungkan tentang masa-masa indah yang telah berlalu. ð­ð #Reflecting
joy,'Gue sama kakak gue adalah orang yang jago makan pedes. Lagi musim ayam geprek atau gepuk pastimintanya yang paling pedes. Jadi kemarin siang gofood OK Cis (Ayam Geprek Ria Ricis)
anger,'[USERNAME] [USERNAME] Cuma kata?cuma selogan?kyk teriakan mereka ''saya pancasila'' Bukti : Presiden lu dikatain dungu kalian pada diam?ajaib.. Saran : mulut sama kenyataan mohon disingkron kan..'
joy,dan pda akhrnya suaminya mmng bertobat kembali sama dia dan berani bersaksi tntng masa kelamnya. luar biasa mmng kesabaran istrnya bisa sj dia lngsng main cerai atw mmbalas prbuatan suaminya..
fear,'[USERNAME] ''Takut dosa'' Serius
fear,'Duh beberapa hari ini kok rasanya seneng ya
joy,Kalo abis saur suka langsung kulsub (kuliah subuh) abis adzan subuh udh nya main sampe matahari terbit patariktatik lodong sama anak rw sebelah #OldMoneyGakNgerasain
sadness,'Akhirnya ingin berkata juga
